Store,Name,Banner,Overall,Automotive,Energy Storage,Lighting,Special Order Hardware
783629,Warialda Mitre 10 (Warialda),Mitre 10,18.11%,28.96%,24.91%,-25.69%,
783630,Duffys Mitre 10 (Kilcoy),Mitre 10,16.70%,7.98%,14.91%,49.72%,
783634,Russell Island Service Station (Russell Island),-,3.24%,-22.28%,22.54%,46.91%,
783636,Kyogle Building Supplies (Kyogle),-,9.48%,,9.48%,,
783641,Sunshine Mitre 10 (Cooroy),Mitre 10,13.13%,15.51%,16.33%,-10.77%,
783644,Cooloola Mitre 10 (Tin Can Bay),Mitre 10,5.44%,4.21%,0.65%,30.57%,
783645,Trundle True Value Hardware (Trundle),True Value,-35.10%,-36.12%,-33.02%,-100.00%,
783647,Lowood Mitre 10 (Lowood),Mitre 10,5.94%,0.02%,6.27%,28.55%,
783648,Woolgoolga Mitre 10 (Woolgoolga),Mitre 10,9.77%,-8.12%,13.65%,4.66%,
783649,Kootingal Mitre 10 (Kootingal),Mitre 10,-2.83%,4.20%,-0.63%,-58.82%,0.00%
783653,Marwill (Julia Creek),-,11.64%,-35.42%,14.89%,,
783654,Hastings Co Operative Mitre 10 (Wauchope),-,-100.00%,-100.00%,-100.00%,-100.00%,
783656,Petrie's Mitre 10 (Gunnedah),Mitre 10,6.78%,-0.34%,13.82%,-18.70%,
783658,Kenilworth Rural Supplies (Kenilworth),-,27.20%,74.04%,27.71%,-46.68%,
783659,Pambula Mitre 10 (Pambula),Mitre 10,-1.84%,-1.26%,-1.16%,-8.53%,
783660,Bega Mitre 10 (Bega),Mitre 10,-3.58%,-45.98%,5.30%,-23.86%,
783661,Eden Mitre 10 (Eden),Mitre 10,6.17%,5.06%,13.38%,-37.46%,
